window_group,n_total,n_valid_target,low_rate,p_ge_2,p_ge_5,p_ge_10,p_ge_20,p_ge_50,p_ge_100
112,5330,5329,0.5282416963783074,0.47175830362169263,0.19103021204728843,0.09645336836179395,0.04728842184274723,0.018389941827735033,0.00825670857571777
113,5329,5328,0.5283408408408409,0.4716591591591592,0.19087837837837837,0.09647147147147148,0.0472972972972973,0.01839339339339339,0.008258258258258258
114,5328,5327,0.5284400225267505,0.47155997747324946,0.19072648770414868,0.09648958137788624,0.04730617608409987,0.018396846254927726,0.008259808522620612
115,5327,5326,0.5285392414570034,0.4714607585429966,0.19057453999248966,0.09631993991738641,0.04712730003755163,0.018212542245587684,0.008073601201652273
116,5326,5325,0.5284507042253521,0.4715492957746479,0.19061032863849764,0.09633802816901409,0.04713615023474178,0.018215962441314553,0.008075117370892018
117,5325,5324,0.52854996243426,0.47145003756574005,0.19045830202854996,0.09635612321562735,0.047145003756574,0.01821938392186326,0.008076634109691961
118,5324,5323,0.5286492579372535,0.4713507420627466,0.19049408228442608,0.0963742250610558,0.047153860604922035,0.018222806687957917,0.008078151418373097
119,5323,5322,0.5287485907553551,0.47125140924464487,0.19052987598647125,0.0963923337091319,0.04716272078166103,0.018226230740323188,0.00807966929725667
120,5322,5321,0.5288479609096035,0.47115203909039655,0.1905656831422665,0.09641044916369104,0.047171584288667544,0.01822965607968427,0.008081187746664161
121,5321,5320,0.5287593984962407,0.4712406015037594,0.1906015037593985,0.09642857142857143,0.04718045112781955,0.018233082706766917,0.008082706766917294
122,5320,5319,0.5288588080466253,0.47114119195337467,0.19044933258131228,0.09644670050761421,0.04718932130099643,0.018236510622297423,0.008084226358338033
123,5319,5318,0.5289582549830764,0.47104174501692364,0.1904851447912749,0.09646483640466341,0.047198194810078975,0.018239939827002633,0.008085746521248589
124,5318,5317,0.528869663343991,0.471130336656009,0.19052097047207073,0.09648297912356592,0.04720707165694941,0.01824337032160993,0.008087267255971413
125,5317,5316,0.5289691497366441,0.4710308502633559,0.19036869826937547,0.09650112866817155,0.047215951843491345,0.018246802106847253,0.008088788562829194
126,5316,5315,0.5288805268109125,0.4711194731890875,0.19040451552210724,0.09651928504233302,0.04722483537158984,0.018250235183443087,0.008090310442144873
127,5315,5314,0.5287918705306737,0.47120812946932633,0.190440346255175,0.09653744824990591,0.047233722243131354,0.01825366955212646,0.008091832894241625
128,5314,5313,0.5288913984566158,0.47110860154338413,0.19047619047619047,0.09655561829474874,0.04724261246000377,0.018257105213626952,0.008093355919442876
129,5313,5312,0.5288027108433735,0.4711972891566265,0.1905120481927711,0.09657379518072289,0.04725150602409638,0.0182605421686747,0.00809487951807229
130,5312,5311,0.5287139898324232,0.4712860101675767,0.19054791941254,0.09659197891169272,0.047260402937299946,0.018263980418000376,0.008096403690453776
131,5311,5310,0.5288135593220339,0.4711864406779661,0.19058380414312617,0.09661016949152543,0.047269303201506595,0.018267419962335215,0.008097928436911487
132,5310,5309,0.5287248069316255,0.47127519306837445,0.19061970239216425,0.09662836692409117,0.047278206818609905,0.018270860802411,0.008099453757769826
